Time, Message
2023-06-24_17-13-18,Error: File  /Users/cosmin_p/Documents/fer/static/ai/haarcascade_frontalface_default.xml2  not found!
2023-06-24_17-13-19,Error: File  /Users/cosmin_p/Documents/fer/static/ai/haarcascade_frontalface_default.xml2  not found!
2023-06-24_17-17-16,Error: File  /Users/cosmin_p/Documents/fer/static/ai/model/model.json2  not found!
2023-06-24_17-18-09,Error: File  /Users/cosmin_p/Documents/fer/static/ai/model/model.json2  not found!
2023-06-24_17-18-11,Error: File  /Users/cosmin_p/Documents/fer/static/ai/model/model.json2  not found!
2023-06-24_17-21-23,Error: File  /Users/cosmin_p/Documents/fer/static/ai/model/model.h52  not found!
2023-06-24_17-25-20,Error: File  ../static/ai/model/model.json  not found!
2023-06-24_17-25-20,Error: File  ../static/ai/model/model.h5  not found!
2023-06-24_17-31-01,Error: File  ../static/ai/model/model.json  not found!
2023-06-24_17-31-01,Error: File  ../static/ai/model/model.h5  not found!
2023-06-24_17-36-21,Error: File  /static/ai/model/model.json  not found!
2023-06-24_17-36-21,Error: File  /static/ai/model/model.h5  not found!
2023-06-24_17-36-23,Error: File  /static/ai/model/model.json  not found!
2023-06-24_17-36-23,Error: File  /static/ai/model/model.h5  not found!
2023-06-24_17-38-28,Error: File  ..static/ai/model/model.json  not found!
2023-06-24_17-38-28,Error: File  ..static/ai/model/model.h5  not found!
2023-06-24_17-38-39,Error: File  ..static/ai/model/model.json  not found!
2023-06-24_17-38-39,Error: File  ..static/ai/model/model.h5  not found!
2023-06-24_17-39-22,Error: File  ../static/ai/model/model.json  not found!
2023-06-24_17-39-22,Error: File  ../static/ai/model/model.h5  not found!
2023-06-24_17-42-47,Error: File  resources/ai/model/model.json  not found!
2023-06-24_17-42-47,Error: File  resources/ai/model/model.h5  not found!
2023-06-24_17-43-32,Error: File  /resources/ai/model/model.json  not found!
2023-06-24_17-43-32,Error: File  /resources/ai/model/model.h5  not found!
2023-06-24_17-45-12,Error: File  resources/ai/model/model.json  not found!
2023-06-24_17-45-12,Error: File  resources/ai/model/model.h5  not found!
2023-06-24_17-47-04,Error: File  static/ai/model/model.json  not found!
2023-06-24_17-47-04,Error: File  static/ai/model/model.h5  not found!
